TICKETID;ASSETNUM;DESCRIPTION;CLASSSTRUCTUREID;REPORTDATE;REPORTEDBY;SITEID;STATUS;STATUSDATE
1792646;3749;Luces cruce mal;1662;1/3/2024 7:47 PM;0003044;;CLOSED;4/14/2024 2:21 PM
1792671;11282;Guillotina baño mal;;1/3/2024 9:06 PM;1795;;CLOSED;4/7/2024 3:05 PM
1795924;11167;PILOTO TRASERO;;1/9/2024 1:35 PM;217;;CLOSED;4/14/2024 3:42 PM
1795935;4330;Se enciende en rojo y también tiene activa la alarma de fallo motor.;4337;1/9/2024 1:58 PM;0038681;;PREVIOUS;1/10/2024 1:41 PM
1793631;11112;Vehiculo 11112 supera 80 dias sin descargar. Ultima registrada el 13/10/2023;4125;1/5/2024 7:00 AM;MAXADMIN;;RESOLVED;1/9/2024 7:08 AM
1791805;10393;Vehiculo 10393 supera 60 dias sin descargar. Ultima registrada el 31/10/2023;4124;1/2/2024 7:01 AM;MAXADMIN;;CLOSED;4/28/2024 2:19 PM
1791909;3773;Alarma regeneración de gases de escape;4337;1/2/2024 12:32 PM;0035781;;CLOSED;4/21/2024 3:30 PM
1792685;4041;correpcion  de dirección si motivo bajando guarna normal y anti deslizamientos  se activó un par de;1636;1/3/2024 9:28 PM;0035781;;CLOSED;5/5/2024 4:19 PM
1792725;10660;Impresora no imprime;4225;1/3/2024 10:53 PM;0001213;;CLOSED;4/28/2024 3:19 PM
1792744;10821;Luces interiores no se apagan;;1/3/2024 11:44 PM;1795;;CLOSED;4/7/2024 3:05 PM
1796676;11997;fallo detector cámara proximidad;1636;1/10/2024 4:39 PM;0010184;;CLOSED;4/28/2024 2:25 PM
1796696;3252;Vibración a velocidades altas;1567;1/10/2024 6:44 PM;0012064;;CLOSED;4/21/2024 4:25 PM
1796697;3252;Maletero mal;1781;1/10/2024 6:44 PM;0012064;;CLOSED;4/21/2024 4:25 PM
1791860;10813;Rueda pinchada;1816;1/2/2024 8:57 AM;0015767;;CLOSED;4/28/2024 2:19 PM
1791873;10424;Luna delantera muy rajada???;1799;1/2/2024 9:56 AM;0013736;;CLOSED;6/2/2024 2:56 PM
1791947;10371;Reclinables mal;1720;1/2/2024 3:23 PM;0006437;;CLOSED;5/5/2024 2:44 PM
1791256;11935;Vehiculo 11935 supera 80 dias sin descargar. Ultima registrada el 21/08/2023;4125;1/1/2024 7:00 AM;MAXADMIN;;RESOLVED;1/1/2024 11:19 PM
1791317;11282;Vehiculo 11282 supera 80 dias sin descargar. Ultima registrada el 10/10/2023;4125;1/1/2024 7:00 AM;MAXADMIN;;CLOSED;4/28/2024 2:25 PM
1792823;10720;-;1662;1/4/2024 6:44 AM;0009982;;CLOSED;4/14/2024 2:35 PM
1796096;10660;FUGA AIRE POR  WC;4253;1/9/2024 10:52 PM;0015041;;CLOSED;4/28/2024 3:19 PM
1792047;11140;Itos no enciende;4212;1/2/2024 8:30 PM;0062258;;CLOSED;4/28/2024 2:19 PM
1791409;10372;Fuga aceite;1524;1/1/2024 8:49 PM;0060136;;CLOSED;4/14/2024 2:29 PM
1791417;10824;Rueda pinchada;1816;1/1/2024 9:16 PM;0009126;;CLOSED;4/28/2024 2:19 PM
PIC765828_78;13071;Revisión del nivel de anticongelante: El nivel del anticongelante está al mínimo al arrancar en frí;4151;1/1/2024 9:23 PM;0002078;;CLOSED;5/12/2024 3:04 PM
1791441;4047;No funciona regulacion espejos???;1806;1/1/2024 11:24 PM;0004456;;CLOSED;2/28/2024 11:14 AM
1796097;10660;mantenimiento filtro de combustible;1636;1/9/2024 10:52 PM;0015041;;CLOSED;4/28/2024 2:47 PM
1796108;10657;LA MAMPARA TRASERA PLAZAS 27 y 28 ESTA SUELTA SIN TORNILLO.;1714;1/9/2024 11:29 PM;0001103;;CLOSED;4/21/2024 3:29 PM
1796116;3749;cuando vas circulando empieza a pegar muchos tirones y sueltas el acelerador vuelves a apretar y si;1536;1/10/2024;0008508;;CLOSED;1/11/2024 7:15 AM
1872229;11163;Tratam. posterior gases escape averiado.;4337;5/24/2024 12:57 PM;0015109;;CLOSED;9/15/2024 4:16 PM
1872292;4948;Luces cruce mal;1662;5/24/2024 4:57 PM;0012274;;CLOSED;9/29/2024 4:37 PM
1792541;3784;Puerta trasera mal???;1777;1/3/2024 2:16 PM;0013036;;CLOSED;4/14/2024 3:15 PM
1793620;11282;Vehiculo 11282 supera 80 dias sin descargar. Ultima registrada el 10/10/2023;4125;1/5/2024 7:00 AM;MAXADMIN;;CLOSED;4/28/2024 2:25 PM
1793650;10644;Iluminacion escaleras mal;1726;1/5/2024 7:48 AM;0038517;;CLOSED;4/21/2024 2:42 PM
1792432;11112;Vehiculo 11112 supera 80 dias sin descargar. Ultima registrada el 13/10/2023;4125;1/3/2024 7:00 AM;MAXADMIN;;RESOLVED;1/4/2024 12:43 PM
1793059;11282;Vehiculo 11282 supera 80 dias sin descargar. Ultima registrada el 10/10/2023;4125;1/4/2024 7:00 AM;MAXADMIN;;CLOSED;4/28/2024 2:25 PM
1793074;11112;Vehiculo 11112 supera 80 dias sin descargar. Ultima registrada el 13/10/2023;4125;1/4/2024 7:00 AM;MAXADMIN;;RESOLVED;1/5/2024 1:31 PM
1793079;4041;Regular/ajustar espejo;2026;1/4/2024 7:01 AM;0035781;;CLOSED;5/5/2024 4:19 PM
1793082;4041;-;2026;1/4/2024 7:06 AM;0035781;;CLOSED;5/5/2024 4:19 PM
1793098;11174;Rueda pinchada/Delantera Izquierda???;1816;1/4/2024 8:08 AM;0037406;;CLOSED;5/5/2024 4:19 PM
1793100;11933;Fuga de aceite motor. Mancha parte trasera.;1524;1/4/2024 8:44 AM;0003308;;NOPRO;1/16/2024 6:03 PM
1793101;3773;Luces cruce mal;1662;1/4/2024 8:57 AM;0006479;;CLOSED;4/21/2024 3:29 PM
1793127;13095;al poner en marcha el autobús los calderones estannvacuados y al cargar los mismos se abre el malet;4257;1/4/2024 10:17 AM;0057427;;CLOSED;4/28/2024 2:20 PM
1793128;13095;no enciende la radio;1682;1/4/2024 10:20 AM;0057427;;CLOSED;4/28/2024 2:20 PM
1791863;4330;puerta no cierra bien;4132;1/2/2024 9:13 AM;0050734;;CLOSED;5/5/2024 5:31 PM
1793129;13095;-;4224;1/4/2024 10:20 AM;0057427;;NOPRO;1/4/2024 1:30 PM
1793176;11176;Posición delantera izquierda no funciona;1660;1/4/2024 1:31 PM;0058245;;CLOSED;5/5/2024 6:07 PM
1793249;4047;no se puede abrir desde fuera;1779;1/4/2024 6:32 PM;0035781;;CLOSED;5/26/2024 2:10 PM
1793300;10436;Avería de motor encendido ( sin ningun fallo );1636;1/4/2024 10:22 PM;0001582;;CLOSED;5/5/2024 4:19 PM
1796500;3704;reparaciones interiores PRE-ITV;;1/10/2024 8:34 AM;115;154;CLOSED;4/28/2024 2:48 PM
1791905;11175;Luces cruce mal????;1662;1/2/2024 12:23 PM;0037406;;CLOSED;5/5/2024 6:23 PM
1791925;10405;REPARAR WC;;1/2/2024 1:45 PM;279;;CLOSED;4/21/2024 2:42 PM
1791408;3891;no cambia a automático;1532;1/1/2024 8:48 PM;0060136;;CLOSED;4/14/2024 2:29 PM
1791416;10824;-;1534;1/1/2024 9:16 PM;0009126;;NOPRO;1/2/2024 7:17 AM
1791453;3843;una de las correas donde la unión está a punto de abrirse;1579;1/2/2024;0032334;;CLOSED;4/14/2024 2:49 PM
1791459;10819;Se encendió testigo de puerta de silla de ruedas en rojo, y avería de freno de paradas.;1636;1/2/2024 2:58 AM;0015845;;CLOSED;4/28/2024 4:12 PM
1794719;10644;sólo enfría no calienta la parte de arriba la parte delantera;1592;1/7/2024 8:42 PM;0050783;;CLOSED;5/5/2024 2:46 PM
1794741;3272;No cierra,se queda suelta;1777;1/7/2024 10:20 PM;0015969;;CLOSED;1/8/2024 5:04 PM
1792135;11283;Cinturon seguridad conductor mal;4133;1/3/2024 1:16 AM;0053447;;CLOSED;4/28/2024 2:24 PM
1792193;13306;Grifo roto;1738;1/3/2024 6:54 AM;0006622;;CLOSED;5/5/2024 7:45 PM
1794158;3769;Al pisar el pedal del freno los frenos chirrian.;1555;1/6/2024 11:27 AM;0012348;;NOPRO;1/18/2024 5:32 PM
1794159;3769;Le faltan varios pulsadores del timbre de aviso de parada para los viajeros.;1750;1/6/2024 11:27 AM;0012348;;NOPRO;1/18/2024 5:32 PM
1794160;3769;La cerradura está pasada y no se puede cerrar el coche con la llave, se queda sin trancar.;1789;1/6/2024 11:27 AM;0012348;;NOPRO;1/20/2024 9:09 AM
1794165;4047;¿calefaccion?;1598;1/6/2024 11:52 AM;0056770;;CLOSED;3/27/2024 10:21 AM
1792407;4995;Vehiculo 4995 supera 80 dias sin descargar. Ultima registrada el 09/10/2023;4125;1/3/2024 7:00 AM;MAXADMIN;;CLOSED;4/14/2024 2:17 PM
1794598;10396;Puerta WC mal;1742;1/7/2024 7:56 AM;0006524;;CLOSED;4/21/2024 2:40 PM
1792026;10664;Cinturones mal;1710;1/2/2024 7:30 PM;0016001;;CLOSED;4/7/2024 2:29 PM
1792068;11176;Rueda delantera derecha gastada por fuera;1818;1/2/2024 9:19 PM;0058245;;CLOSED;4/28/2024 2:19 PM
1792093;10412;Freno de paradas no funciona;;1/2/2024 10:56 PM;0013260;;CLOSED;4/14/2024 2:23 PM
1793157;10819;Alarma de puerta abierta, no deja observar la temperatura del coche,;1636;1/4/2024 11:44 AM;0005339;;CLOSED;4/28/2024 4:12 PM
1793200;4688;-;1594;1/4/2024 3:29 PM;0031400;;PREVIOUS;1/9/2024 2:37 PM
1794152;10720;-;1818;1/6/2024 10:56 AM;0009982;;CLOSED;4/14/2024 3:23 PM
1792543;3784;salidas de aire acondicionado de los asientos 23/24/44/50 están rotas;1636;1/3/2024 2:16 PM;0013036;;CLOSED;5/5/2024 6:07 PM
1792652;11282;"Grifo partido
Guillotina se queda abierta";1740;1/3/2024 7:52 PM;0031255;;CLOSED;4/28/2024 2:20 PM
1794167;10428;Diferencia de temperatura entre sensores  exteriores, del climatizado y del coche. Afecta al funcion;1594;1/6/2024 11:57 AM;0014983;;CLOSED;5/5/2024 6:07 PM
1794168;10428;Itos se apaga solo y no carga.;1684;1/6/2024 11:57 AM;0014983;;CLOSED;4/28/2024 2:37 PM
1794276;10393;Lleva meses sin autorizador del ad blue;1756;1/7/2024;0001684;;CLOSED;5/26/2024 2:07 PM
1794491;11935;Vehiculo 11935 supera 80 dias sin descargar. Ultima registrada el 21/08/2023;4125;1/7/2024 7:00 AM;MAXADMIN;;RESOLVED;1/7/2024 10:53 PM
1792682;10428;¿luces cruce?;1662;1/3/2024 9:28 PM;0001772;;CLOSED;4/21/2024 3:29 PM
1792726;10660;filtro gasolina sucio;1636;1/3/2024 10:53 PM;0001213;;CLOSED;4/14/2024 2:07 PM
1794236;11916;chinazo en el lao izquierdo sobre el primer tercio de la luna;1799;1/6/2024 9:02 PM;0006941;;NOPRO;1/7/2024 8:42 AM
1794078;11935;Vehiculo 11935 supera 80 dias sin descargar. Ultima registrada el 21/08/2023;4125;1/6/2024 7:00 AM;MAXADMIN;;RESOLVED;1/7/2024 10:53 PM
1794166;4047;¿wc?;1740;1/6/2024 11:52 AM;0056770;;CLOSED;7/28/2024 2:04 PM
1794272;10428;Limpia no echa agua;1654;1/7/2024;0001582;;CLOSED;4/21/2024 3:29 PM
1794274;10393;Todo lo contrario. No se puede bloquear amortiguación y bota mucho y bruscamente;1744;1/7/2024;0001684;;CLOSED;4/28/2024 2:23 PM
1793690;3121;Amortiguacion asiento conductor mal;1744;1/5/2024 9:45 AM;0011880;;CLOSED;3/6/2024 3:50 PM
1793694;10659;RECACOR EJE 1º;;1/5/2024 10:44 AM;767;;CLOSED;4/14/2024 2:07 PM
1793726;10065;hacer niveles;;1/5/2024 1:48 PM;1109;;CLOSED;4/14/2024 3:04 PM
1793741;10800;chapa.luna delantera;;1/5/2024 3:03 PM;152;;CLOSED;5/5/2024 6:46 PM
1793757;10409;enchufes butacas 3/4,  9/10 caidos;4041;1/5/2024 4:09 PM;0013743;;CLOSED;5/12/2024 3:22 PM
1793768;11170;REPARAR LUNA PARABRISAS (02/01/2024);;1/5/2024 4:29 PM;1383;;CLOSED;4/28/2024 2:20 PM
1794127;10407;Vehiculo 10407 supera 80 dias sin descargar. Ultima registrada el 17/10/2023;4125;1/6/2024 7:00 AM;MAXADMIN;;CLOSED;4/21/2024 2:41 PM
1793184;10391;-;1684;1/4/2024 2:18 PM;0062121;;NOPRO;1/5/2024 7:32 AM
1793809;3773;NIVELES;;1/5/2024 9:37 PM;1090;;CLOSED;4/14/2024 3:04 PM
1794644;3333;-;1662;1/7/2024 12:04 PM;0002852;;CLOSED;5/5/2024 3:01 PM
1794655;13009;¿pantallas?;1830;1/7/2024 1:30 PM;0005870;;CLOSED;4/28/2024 2:37 PM
1794666;11172;Se va hacia la derecha. Lleva así desde noviembre 2023. Orden hecha el 12/11/23 y aun sin reparar.;1563;1/7/2024 3:09 PM;0014983;;PREVIOUS;1/8/2024 12:16 PM
1794667;11172;Vibra mucho. Lleva así desde noviembre de 2023. Orden hecha el 12/11/23 y aun sin reparar.;1567;1/7/2024 3:09 PM;0014983;;PREVIOUS;1/8/2024 12:17 PM
1794668;11172;Señala averia. Lleva así desde noviembre de 2023. Orden hecha el día 12/11/23 y aun sin reparar.;1594;1/7/2024 3:09 PM;0014983;;PREVIOUS;1/8/2024 12:17 PM
1794682;10453;por maletero;1522;1/7/2024 4:49 PM;0014969;;CLOSED;4/14/2024 3:05 PM
1791717;11282;Vehiculo 11282 supera 80 dias sin descargar. Ultima registrada el 10/10/2023;4125;1/2/2024 7:00 AM;MAXADMIN;;CLOSED;4/28/2024 2:25 PM
1793078;4950;Vehiculo 4950 supera 60 dias sin descargar. Ultima registrada el 17/10/2023;4124;1/4/2024 7:00 AM;MAXADMIN;;CLOSED;5/5/2024 3:00 PM
1793103;13005;WIFI NO FUNCIONA;1915;1/4/2024 9:00 AM;0056586;;RESOLVED;2/20/2024 3:15 PM
1793131;13055;revisar. ruedas delanteras muy desgastes .;1818;1/4/2024 10:23 AM;0032331;;CLOSED;5/5/2024 2:46 PM
1793132;3653;-;1522;1/4/2024 10:25 AM;0017837;;CLOSED;4/14/2024 2:05 PM
1793116;10659;En zona del conductor, en zona central y en ángulo inferior derecho;1799;1/4/2024 9:38 AM;0015845;;CLOSED;7/28/2024 2:04 PM
1791761;3063;Vehiculo 3063 supera 60 dias sin descargar. Ultima registrada el 25/10/2023;4124;1/2/2024 7:00 AM;MAXADMIN;;RESOLVED;1/23/2024 7:13 AM
1793153;4699;Suelo y botellas vacias;4056;1/4/2024 11:19 AM;0062335;;RESOLVED;1/4/2024 11:52 AM
1793171;13252;REPARAR LUNAS LATERALES CON LAMINA ANTIVANDALICA Y SOLAR 21/12/23;;1/4/2024 12:49 PM;1330;;CLOSED;4/7/2024 2:51 PM
1793233;10407;Maletero mal;1781;1/4/2024 5:01 PM;0054958;;CLOSED;4/21/2024 2:42 PM
1793284;10744;Intermitente derecho delantero;1666;1/4/2024 9:17 PM;0002989;;CLOSED;4/28/2024 2:23 PM
1794770;3836;se queda sin anticongelante.;1522;1/7/2024 11:20 PM;0010632;;CLOSED;3/24/2024 4:15 PM
1794772;10424;puerta delantera izquierda de maletero no se bloquea;1781;1/7/2024 11:23 PM;0015041;;CLOSED;4/28/2024 2:48 PM
1791790;10802;Vehiculo 10802 supera 60 dias sin descargar. Ultima registrada el 30/10/2023;4124;1/2/2024 7:01 AM;MAXADMIN;;CLOSED;5/5/2024 2:27 PM
1791791;10365;Vehiculo 10365 supera 60 dias sin descargar. Ultima registrada el 30/10/2023;4124;1/2/2024 7:01 AM;MAXADMIN;;CLOSED;5/5/2024 2:26 PM
1793354;10439;segundo malero lado derecho no abre;1781;1/5/2024;0017301;;CLOSED;4/21/2024 3:28 PM
1793355;10371;Fallo conmutador cambio/freno cont.;1534;1/5/2024;0030199;;CLOSED;5/5/2024 5:25 PM
1791831;10715;-;1936;1/2/2024 7:20 AM;0015793;;CLOSED;4/21/2024 2:51 PM
1791837;10658;Apertura del maletero del sistema wc roto,no se puede abrir.;1781;1/2/2024 7:47 AM;0005870;;CLOSED;4/28/2024 4:11 PM
1791841;4330;-;1750;1/2/2024 8:04 AM;0050734;;NOPRO;1/10/2024 1:41 PM
1791843;3421;Ruido en la direccion;1571;1/2/2024 8:06 AM;0030343;;CLOSED;4/14/2024 2:29 PM
1791871;10430;Pantalla rota (indicar cual)???;4047;1/2/2024 9:49 AM;0016001;;CLOSED;4/28/2024 2:01 PM
1791840;10658;-;1740;1/2/2024 8:01 AM;0005870;;CLOSED;4/28/2024 4:11 PM
1794201;3833;Impresora no imprime;4225;1/6/2024 3:49 PM;0034211;;NOPRO;1/7/2024 8:06 AM
1795883;11168;¿vibra a altas velocidades?;1567;1/9/2024 10:42 AM;0013736;;CLOSED;5/5/2024 6:07 PM
1795928;11307;REVISAR NIVELES;;1/9/2024 1:41 PM;1215;;CLOSED;4/14/2024 3:24 PM
1793781;10396;Testigo del nivel de dirección  posible avería la boya del medidor por que le hemos echado aceite y;1636;1/5/2024 5:47 PM;0013440;;CLOSED;4/21/2024 2:44 PM
1793785;11186;están las ruedas que para época en la que estamos no están en condiciones. tienen poco dibujo;1818;1/5/2024 6:32 PM;0003595;;CLOSED;5/26/2024 3:10 PM
1792094;10412;No funciona el itos.Me daba error de usuario y contraseña poniéndole correcto todo y se bloqueó;1684;1/2/2024 10:56 PM;0013260;;CLOSED;8/25/2024 2:08 PM
1794204;11281;Luna delantera muy rajada;1799;1/6/2024 4:11 PM;0037950;;CLOSED;6/2/2024 2:06 PM
1794217;10439;Segundo de la derecha, no se puede abrir, maneta estropeada;1781;1/6/2024 6:32 PM;0015845;;CLOSED;10/20/2024 3:04 PM
1792413;11282;Vehiculo 11282 supera 80 dias sin descargar. Ultima registrada el 10/10/2023;4125;1/3/2024 7:00 AM;MAXADMIN;;CLOSED;4/28/2024 2:25 PM
1792477;10822;No encienden pantallas (indicar cuales);4009;1/3/2024 9:04 AM;0015071;;CLOSED;5/26/2024 2:09 PM
1794547;4950;Vehiculo 4950 supera 80 dias sin descargar. Ultima registrada el 17/10/2023;4125;1/7/2024 7:00 AM;MAXADMIN;;CLOSED;5/5/2024 3:00 PM
1794568;3704;Vehiculo 3704 supera 60 dias sin descargar. Ultima registrada el 03/11/2023;4124;1/7/2024 7:00 AM;MAXADMIN;;CLOSED;4/21/2024 3:29 PM
1794615;10364;-;1818;1/7/2024 9:09 AM;0001629;;CLOSED;4/28/2024 2:23 PM
1794680;10659;Mete ruido en la parte delantera en la zona del conductor. Sellar la luna.;1799;1/7/2024 4:20 PM;0001103;;CLOSED;5/5/2024 6:07 PM
1792504;13005;VALVULA RUEDA;;1/3/2024 10:45 AM;217;;CLOSED;4/28/2024 2:07 PM
1792528;10364;Desgaste anormal de rueda;1818;1/3/2024 1:13 PM;0001629;;CLOSED;4/28/2024 2:23 PM
1792623;11307;delantera derecha,;1820;1/3/2024 6:23 PM;0034234;;CLOSED;4/28/2024 2:44 PM
1794662;11283;Grifo partido, roto;1738;1/7/2024 2:12 PM;0059781;;CLOSED;4/21/2024 4:41 PM
1792684;10428;marca averia motor;1636;1/3/2024 9:28 PM;0001772;;CLOSED;4/21/2024 3:29 PM
1794773;10424;sale un icono de avería en aa;1594;1/7/2024 11:23 PM;0015041;;CLOSED;4/21/2024 3:29 PM
1791934;13015;Se encienden los 4 intermitentes solos en carretera;1666;1/2/2024 2:06 PM;0032382;;CLOSED;4/14/2024 2:29 PM
1791935;13015;Sensor de Marcha atras de los espejos se encienden todas las luces a la vez;2026;1/2/2024 2:06 PM;0032382;;CLOSED;4/14/2024 2:29 PM
1791936;13015;Cambiar ruedas delanteras y del tiro y hacer equilibrado vibra la direcion;1818;1/2/2024 2:06 PM;0032382;;CLOSED;4/14/2024 2:49 PM
1791937;13015;Falta poner obetablet;4219;1/2/2024 2:06 PM;0032382;;CLOSED;11/3/2024 2:10 PM
1791957;13306;-;1738;1/2/2024 3:30 PM;0037406;;CLOSED;1/4/2024 3:49 PM
1792532;10816;Puerta trasera mal;1777;1/3/2024 1:32 PM;0036182;;CLOSED;4/28/2024 2:25 PM
1793051;4995;Vehiculo 4995 supera 80 dias sin descargar. Ultima registrada el 09/10/2023;4125;1/4/2024 7:00 AM;MAXADMIN;;CLOSED;6/23/2024 2:07 PM
1791461;10658;Manilla de abrir la puerta exterior para acceder a deposito del WC rota,no se puede abrir.;1781;1/2/2024 3:01 AM;0015845;;CLOSED;4/28/2024 4:11 PM
1793241;10369;Fuga agua;1522;1/4/2024 5:42 PM;0060136;;CLOSED;4/14/2024 2:21 PM
1793291;10751;La iluminación interior en el lado del conductor no funciona. Grafiti en la parte posterior quitar;1732;1/4/2024 9:33 PM;0030109;;CLOSED;4/14/2024 2:20 PM
1795175;13306;ANTIVAHO NO DESEMPAÑA;1602;1/8/2024 9:50 AM;0052743;;CLOSED;5/5/2024 7:45 PM
1795176;13306;no funciona salta alarma fallo calefacción;1596;1/8/2024 9:50 AM;0052743;;CLOSED;5/5/2024 4:17 PM
1793146;2711;cuesta mucho hacerle aire, se baja la presión a 5 bares y para que haga aire hay que mantener el ac;4261;1/4/2024 11:06 AM;0059123;;CLOSED;5/5/2024 5:01 PM
1793159;13071;Presión en frío 7.7 en ruedas delanteras. Debe ser 8.5. Corregir.;1816;1/4/2024 11:47 AM;0014983;;CLOSED;4/7/2024 3:12 PM
1795230;11173;LAVADO CARROCERIA MENSUAL;;1/8/2024 12:33 PM;351;;CLOSED;5/5/2024 5:51 PM
1795237;11916;Elevalunas conductor mal;2022;1/8/2024 12:37 PM;0004590;;CLOSED;4/28/2024 2:54 PM
1795253;4042;LAVADO CARROCERIA MENSUAL;;1/8/2024 12:50 PM;351;;CLOSED;5/5/2024 5:51 PM
1795268;11162;PONER ESPEJO DE REPUESTO DEL MALETERO;;1/8/2024 1:08 PM;351;;CLOSED;5/5/2024 4:48 PM
1795238;13005;LAVADO CARROCERIA MENSUAL;;1/8/2024 12:37 PM;351;;CLOSED;5/5/2024 5:51 PM
1795250;13011;LAVADO CARROCERIA MENSUAL;;1/8/2024 12:47 PM;351;;CLOSED;5/5/2024 5:51 PM
1795252;11163;LAVADO CARROCERIA MENSUAL;;1/8/2024 12:48 PM;351;;CLOSED;5/5/2024 5:51 PM
1795267;11161;CAMBIAR AUTOCAR EN LA ESTACION POR 11163;;1/8/2024 1:04 PM;351;;CLOSED;4/14/2024 2:26 PM
1795302;10644;desgaste anormal eje delantero;1818;1/8/2024 3:06 PM;0050783;;CLOSED;4/21/2024 2:42 PM
1795314;13258;CAMBIO DE IAMGEN -VALENCIA 08/01/23;;1/8/2024 4:09 PM;307;;CLOSED;1/31/2024 6:00 PM
1795328;10438;ESP NO FUNCIONA;1636;1/8/2024 4:55 PM;0056095;;CLOSED;5/5/2024 6:08 PM
1795289;10428;El ITOS no carga. Se mueve el cable y no hace contacto;4240;1/8/2024 2:04 PM;0052044;;CLOSED;4/28/2024 2:37 PM
1795301;10644;cambiar escobillas luna rajada;1799;1/8/2024 3:06 PM;0050783;;RESOLVED;1/8/2024 3:16 PM
1791347;3653;-;1781;1/1/2024 10:58 AM;0007077;;CLOSED;4/14/2024 2:05 PM
1792031;3653;-;1791;1/2/2024 7:47 PM;0016214;;CLOSED;4/14/2024 2:05 PM
1795682;3656;Vehiculo 3656 supera 80 dias sin descargar. Ultima registrada el 04/07/2023;4125;1/9/2024 7:00 AM;MAXADMIN;;RESOLVED;1/9/2024 9:01 AM
